ep1,epV,p,q,e,pimg / p,pmx / p,psi,Dp,eta
0.657819618,0.02802154,219.7458005,177.4672768,0.852784507,0.677198165,0.800670401,0.09048237,0.518987587,0.807602586
0.663361571,0.028185257,218.1081681,176.8134662,0.852781473,0.67871476,0.80093585,0.090323041,0.516055564,0.810668705
0.668897044,0.028347596,216.4843235,176.1527556,0.852778464,0.680214972,0.801202348,0.090163896,0.513162321,0.813697513
0.674426223,0.028508575,214.8740781,175.4854653,0.85277548,0.681699089,0.801469881,0.090004929,0.510307048,0.816689788
0.679949288,0.028668213,213.2772475,174.8119045,0.852772522,0.683167389,0.801738435,0.089846135,0.507488956,0.819646289
0.685466413,0.028826527,211.6936512,174.1323714,0.852769588,0.684620147,0.802007995,0.089687505,0.504707279,0.822567755
0.690977767,0.028983535,210.1231126,173.4471537,0.852766678,0.68605763,0.802278549,0.089529035,0.501961269,0.825454904
0.696483513,0.029139256,208.5654584,172.7565291,0.852763792,0.687480102,0.802550083,0.089370719,0.499250199,0.828308438
0.701983809,0.029293705,207.0205195,172.0607657,0.85276093,0.688887821,0.802822585,0.089212549,0.496573358,0.83112904
0.70747881,0.029446899,205.4881297,171.3601222,0.85275809,0.690281037,0.803096044,0.089054521,0.493930057,0.833917377
0.712968665,0.029598854,203.9681266,170.6548484,0.852755274,0.691659998,0.803370447,0.088896628,0.49131962,0.836674098
0.718453517,0.029749587,202.4603511,169.9451855,0.852752481,0.693024947,0.803645785,0.088738865,0.488741393,0.839399836
0.723933508,0.029899113,200.964647,169.2313664,0.85274971,0.694376119,0.803922045,0.088581227,0.486194733,0.842095209
0.729408773,0.030047447,199.4808617,168.5136161,0.85274696,0.695713748,0.804199219,0.088423706,0.483679018,0.844760819
0.734879444,0.030194605,198.0088454,167.792152,0.852744233,0.697038061,0.804477297,0.088266299,0.481193637,0.847397255
0.74034565,0.0303406,196.5484512,167.0671839,0.852741527,0.698349281,0.804756268,0.088108999,0.478737996,0.85000509
0.745807515,0.030485448,195.0995354,166.3389147,0.852738843,0.699647627,0.805036125,0.087951802,0.476311517,0.852584883
0.75126516,0.030629162,193.661957,165.6075403,0.85273618,0.700933314,0.805316858,0.087794701,0.473913633,0.855137183
0.756718701,0.030771756,192.2355776,164.8732502,0.852733537,0.702206552,0.805598459,0.087637692,0.471543793,0.857662522
0.762168254,0.030913244,190.8202617,164.1362274,0.852730915,0.703467546,0.80588092,0.08748077,0.469201457,0.860161421
0.767613928,0.031053639,189.4158764,163.3966488,0.852728313,0.704716501,0.806164233,0.087323929,0.466886099,0.862634389
0.77305583,0.031192954,188.0222913,162.6546855,0.852725731,0.705953613,0.806448392,0.087167165,0.464597205,0.865081924
0.778494066,0.031331202,186.6393786,161.9105028,0.852723169,0.707179077,0.806733388,0.087010472,0.462334274,0.867504511
0.783928737,0.031468396,185.2670128,161.1642605,0.852720626,0.708393085,0.807019215,0.086853846,0.460096815,0.869902624
0.789359941,0.031604547,183.9050708,160.4161132,0.852718103,0.709595823,0.807305867,0.086697282,0.45788435,0.872276727
0.794787775,0.031739668,182.5534319,159.6662105,0.852715598,0.710787476,0.807593338,0.086540775,0.455696411,0.874627274
0.80021233,0.031873771,181.2119777,158.9146968,0.852713113,0.711968223,0.80788162,0.08638432,0.45353254,0.876954707
0.805633699,0.032006867,179.8805919,158.1617121,0.852710646,0.713138242,0.80817071,0.086227913,0.451392291,0.87925946
0.811051968,0.032138968,178.5591604,157.4073915,0.852708198,0.714297707,0.808460601,0.086071549,0.449275227,0.881541956
0.816467224,0.032270085,177.2475712,156.6518658,0.852705768,0.715446788,0.808751287,0.085915224,0.447180921,0.883802609
0.82187955,0.032400229,175.9457143,155.8952617,0.852703356,0.716585653,0.809042765,0.085758933,0.445108956,0.886041824
0.827289028,0.03252941,174.6534819,155.1377015,0.852700962,0.717714465,0.809335029,0.085602671,0.443058922,0.888259998
0.832695734,0.03265764,173.3707679,154.3793038,0.852698586,0.718833386,0.809628075,0.085446435,0.441030422,0.890457519
0.838099748,0.032784928,172.0974683,153.6201831,0.852696227,0.719942575,0.809921898,0.08529022,0.439023063,0.892634765
0.843501143,0.032911285,170.8334809,152.8604505,0.852693885,0.721042188,0.810216494,0.085134021,0.437036465,0.894792108
0.848899991,0.033036722,169.5787053,152.1002132,0.85269156,0.722132377,0.81051186,0.084977835,0.435070252,0.896929912
0.854296365,0.033161247,168.333043,151.3395751,0.852689252,0.723213292,0.810807991,0.084821657,0.43312406,0.899048531
0.859690332,0.03328487,167.0963972,150.5786368,0.852686961,0.724285081,0.811104884,0.084665484,0.43119753,0.901148316
0.865081959,0.033407602,165.8686727,149.8174957,0.852684687,0.725347889,0.811402535,0.08450931,0.429290312,0.903229605
0.870471313,0.033529451,164.649776,149.0562458,0.852682428,0.726401858,0.811700942,0.084353132,0.427402062,0.905292734
0.875858456,0.033650426,163.4396154,148.2949784,0.852680186,0.727447128,0.812000101,0.084196946,0.425532444,0.907338028
0.88124345,0.033770537,162.2381006,147.5337818,0.85267796,0.728483836,0.81230001,0.084040748,0.42368113,0.90936581
0.886626357,0.033889793,161.045143,146.7727413,0.85267575,0.729512118,0.812600665,0.083884535,0.421847797,0.911376392
0.892007234,0.034008202,159.8606553,146.0119398,0.852673556,0.730532107,0.812902064,0.083728301,0.420032129,0.913370081
0.897386139,0.034125772,158.684552,145.2514572,0.852671377,0.731543932,0.813204205,0.083572043,0.418233819,0.91534718
0.902763128,0.034242512,157.5167488,144.4913712,0.852669213,0.732547722,0.813507086,0.083415758,0.416452562,0.917307983
0.908138255,0.034358431,156.357163,143.7317567,0.852667065,0.733543604,0.813810704,0.083259442,0.414688062,0.91925278
0.913511573,0.034473537,155.2057131,142.9726865,0.852664932,0.734531701,0.814115057,0.083103091,0.412940028,0.921181854
0.918883134,0.034587837,154.0623192,142.214231,0.852662813,0.735512136,0.814420144,0.0829467,0.411208176,0.923095483
0.924252989,0.034701339,152.9269026,141.4564583,0.85266071,0.736485027,0.814725963,0.082790268,0.409492226,0.924993941
0.929621187,0.034814052,151.7993859,140.6994343,0.852658621,0.737450494,0.815032512,0.082633789,0.407791905,0.926877493
0.934987775,0.034925982,150.6796929,139.9432229,0.852656546,0.738408652,0.815339789,0.082477261,0.406106943,0.928746403
0.9403528,0.035037137,149.5677489,139.187886,0.852654486,0.739359614,0.815647795,0.082320679,0.404437079,0.930600928
0.945716308,0.035147526,148.4634803,138.4334835,0.852652441,0.740303494,0.815956526,0.08216404,0.402782054,0.93244132
0.951078344,0.035257154,147.3668145,137.6800734,0.852650409,0.741240402,0.816265983,0.082007342,0.401141614,0.934267826
0.956438951,0.035366029,146.2776804,136.9277118,0.852648391,0.742170445,0.816576163,0.081850579,0.399515512,0.936080688
0.961798171,0.035474158,145.1960079,136.1764531,0.852646387,0.743093732,0.816887067,0.081693749,0.397903505,0.937880146
0.967156046,0.035581548,144.1217279,135.42635,0.852644397,0.744010367,0.817198694,0.081536848,0.396305353,0.939666433
0.972512615,0.035688205,143.0547727,134.6774535,0.85264242,0.744920453,0.817511042,0.081379874,0.394720822,0.941439778
0.97786792,0.035794137,141.9950754,133.9298128,0.852640457,0.745824093,0.817824112,0.081222822,0.393149683,0.943200407
0.983221997,0.03589935,140.9425703,133.1834759,0.852638507,0.746721386,0.818137902,0.081065689,0.39159171,0.944948539
0.988574885,0.03600385,139.8971926,132.438489,0.85263657,0.747612432,0.818452412,0.080908472,0.390046681,0.946684394
0.993926619,0.036107644,138.8588788,131.6948968,0.852634647,0.748497326,0.818767643,0.080751168,0.38851438,0.948408182
