    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      statev(1)           statev(2)           statev(3)           statev(4)           statev(5)           statev(6)           statev(7)           statev(8)           statev(9)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)      
 2.3063750000        2.3063750000        0.0000000000        0.0000000000        0.0000000000       0.37504608255E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        9.3791923099        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876442571E-01    3.4000000000       -32.179292410        1.0578488577        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.35748435972E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.179292410       0.78367739784       
 2.3126250000        2.3126250000        0.0000000000        0.0000000000        0.0000000000       0.37269126632E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        9.2357871247        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876426626E-01    3.4000000000       -32.179267976        1.0578638324        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.39520570366E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.179267976       0.78365076615       
 2.3188750000        2.3188750000        0.0000000000        0.0000000000        0.0000000000       0.37010260403E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        9.0781410251        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876408513E-01    3.4000000000       -32.179240222        1.0578808409        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.43231766905E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.179240222       0.78362051468       
 2.3251250000        2.3251250000        0.0000000000        0.0000000000        0.0000000000       0.36728408722E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        8.9064970900        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876388062E-01    3.4000000000       -32.179208883        1.0579000454        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.46876303193E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.179208883       0.78358635581       
 2.3313750000        2.3313750000        0.0000000000        0.0000000000        0.0000000000       0.36424006185E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        8.7211199820        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876365068E-01    3.4000000000       -32.179173649        1.0579216368        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.50448559619E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.179173649       0.78354795079       
 2.3376250000        2.3376250000        0.0000000000        0.0000000000        0.0000000000       0.36097522156E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        8.5222955391        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876339293E-01    3.4000000000       -32.179134153        1.0579458403        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.53943028023E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.179134153       0.78350490071       
 2.3438750000        2.3438750000        0.0000000000        0.0000000000        0.0000000000       0.35749460052E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        8.3103303342        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876310456E-01    3.4000000000       -32.179089965        1.0579729210        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.57354320188E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.179089965       0.78345673521       
 2.3501250000        2.3501250000        0.0000000000        0.0000000000        0.0000000000       0.35380356558E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        8.0855512022        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876278224E-01    3.4000000000       -32.179040574        1.0580031927        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.60677176148E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.179040574       0.78340289826       
 2.3563750000        2.3563750000        0.0000000000        0.0000000000        0.0000000000       0.34990780806E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        7.8483047364        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876242201E-01    3.4000000000       -32.178985375        1.0580370276        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.63906472300E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.178985375       0.78334273022       
 2.3626250000        2.3626250000        0.0000000000        0.0000000000        0.0000000000       0.34581333492E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        7.5989567535        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876201917E-01    3.4000000000       -32.178923647        1.0580748697        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.67037229304E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.178923647       0.78327544483       
 2.3688750000        2.3688750000        0.0000000000        0.0000000000        0.0000000000       0.34152645956E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        7.3378917301        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876156808E-01    3.4000000000       -32.178854526        1.0581172511        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.70064619760E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.178854526       0.78320009968       
 2.3751250000        2.3751250000        0.0000000000        0.0000000000        0.0000000000       0.33705379202E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        7.0655122095        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876106194E-01    3.4000000000       -32.178776968        1.0581648143        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.72983975650E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.178776968       0.78311555765       
 2.3813750000        2.3813750000        0.0000000000        0.0000000000        0.0000000000       0.33240222883E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        6.7822381811        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49876049247E-01    3.4000000000       -32.178689706        1.0582183408        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.75790795539E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.178689706       0.78302043617       
 2.3876250000        2.3876250000        0.0000000000        0.0000000000        0.0000000000       0.32757894237E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        6.4885064331        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49875984951E-01    3.4000000000       -32.178591185        1.0582787896        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.78480751516E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.178591185       0.78291303953       
 2.3938750000        2.3938750000        0.0000000000        0.0000000000        0.0000000000       0.32259136979E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        6.1847698785        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49875912050E-01    3.4000000000       -32.178479478        1.0583473492        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.81049695862E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.178479478       0.78279126720       
 2.4001250000        2.4001250000        0.0000000000        0.0000000000        0.0000000000       0.31744720157E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        5.8714968570        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49875828968E-01    3.4000000000       -32.178352172        1.0584255097        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.83493667451E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.178352172       0.78265248775       
 2.4063750000        2.4063750000        0.0000000000        0.0000000000        0.0000000000       0.31215436964E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        5.5491704129        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49875733709E-01    3.4000000000       -32.178206205        1.0585151629        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.85808897857E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.178206205       0.78249336228       
 2.4126250000        2.4126250000        0.0000000000        0.0000000000        0.0000000000       0.30672103517E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        5.2182875502        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49875623697E-01    3.4000000000       -32.178037636        1.0586187468        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.87991817162E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.178037636       0.78230959214       
 2.4188750000        2.4188750000        0.0000000000        0.0000000000        0.0000000000       0.30115557596E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        4.8793584664        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49875495567E-01    3.4000000000       -32.177841304        1.0587394556        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.90039059463E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.177841304       0.78209555012       
 2.4251250000        2.4251250000        0.0000000000        0.0000000000        0.0000000000       0.29546657355E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        4.5329057655        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49875344825E-01    3.4000000000       -32.177610326        1.0588815566        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.91947468060E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.177610326       0.78184372727       
 2.4313750000        2.4313750000        0.0000000000        0.0000000000        0.0000000000       0.28966279997E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        4.1794636525        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49875165340E-01    3.4000000000       -32.177335308        1.0590508797        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.93714100326E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.177335308       0.78154387783       
 2.4376250000        2.4376250000        0.0000000000        0.0000000000        0.0000000000       0.28375320421E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        3.8195771094        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49874948525E-01    3.4000000000       -32.177003094        1.0592556030        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.95336232242E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.177003094       0.78118165119       
 2.4438750000        2.4438750000        0.0000000000        0.0000000000        0.0000000000       0.27774689845E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        3.4538010553        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49874681975E-01    3.4000000000       -32.176594678        1.0595075647        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.96811362598E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.176594678       0.78073631157       
 2.4501250000        2.4501250000        0.0000000000        0.0000000000        0.0000000000       0.27165314397E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        3.0826994902        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49874347077E-01    3.4000000000       -32.176081546        1.0598245656        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.98137216850E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.176081546       0.78017674764       
 2.4563750000        2.4563750000        0.0000000000        0.0000000000        0.0000000000       0.26548133690E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        2.7068446260        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49873914584E-01    3.4000000000       -32.175418890        1.0602346594        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.99311750626E-03    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.175418890       0.77945406161       
 2.4626250000        2.4626250000        0.0000000000        0.0000000000        0.0000000000       0.25924099373E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        2.3268160036        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49873335752E-01    3.4000000000       -32.174532036        1.0607847717        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.10033315288E-02    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.174532036       0.77848674796       
 2.4688750000        2.4688750000        0.0000000000        0.0000000000        0.0000000000       0.25294173659E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        1.9431995996        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49872522852E-01    3.4000000000       -32.173286600        1.0615597640        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.10119984869E-02    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.173286600       0.77712808872       
 2.4751250000        2.4751250000        0.0000000000        0.0000000000        0.0000000000       0.24659327851E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        1.5565869226        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49871300489E-01    3.4000000000       -32.171413920        1.0627304533        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.10191050166E-02    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.171413920       0.77508465370       
 2.4813750000        2.4813750000        0.0000000000        0.0000000000        0.0000000000       0.24020540833E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749        1.1675741014        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49869259660E-01    3.4000000000       -32.168287578        1.0646992244        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.10246401603E-02    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.168287578       0.77167188563       
 2.4876250000        2.4876250000        0.0000000000        0.0000000000        0.0000000000       0.23378797568E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749       0.77676096562        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49865175075E-01    3.4000000000       -32.162031324        1.0686926327        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.10285953831E-02    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.162031324       0.76483734623       
 2.4938750000        2.4938750000        0.0000000000        0.0000000000        0.0000000000       0.22735087580E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749       0.38475012069        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49852950525E-01    3.4000000000       -32.143314565        1.0810581377        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.10309645864E-02    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -32.143314565       0.74434997483       
 2.5001250000        2.5001250000        0.0000000000        0.0000000000        0.0000000000       0.22090403421E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749       -.78539810403E-02    0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49426479626E-01    3.4000000000       -31.497127334        1.3739954213        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.10317441170E-02    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -31.497127334        0.0000000000       
 2.5063750000        2.5063750000        0.0000000000        0.0000000000        0.0000000000       0.21445739148E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749       -.40044597250        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49036274471E-01    3.4000000000       -30.917276821        1.0810768875        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.10309327730E-02    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -30.917276821       0.74434997483       
 2.5126250000        2.5126250000        0.0000000000        0.0000000000        0.0000000000       0.20802088786E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749       -.79242050529        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49026064640E-01    3.4000000000       -30.902249037        1.0694599733        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.10285318053E-02    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -30.902249037       0.76483734623       
 2.5188750000        2.5188750000        0.0000000000        0.0000000000        0.0000000000       0.20160444799E-03    0.0000000000        0.0000000000       -69.035673723       -68.969936749       -68.969936749       -1.1831731831        0.0000000000        0.0000000000        60898.673606        66698.547283       0.85197865636       0.49022664282E-01    3.4000000000       -30.897245695        1.0656044142        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -.10245449162E-02    0.0000000000        0.0000000000       -.16117423935E-03   -.88871535786E-04   -.88871535786E-04   0.22901390579E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -30.897245695       0.77167188563       
