    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      statev(1)           statev(2)           statev(3)           statev(4)           statev(5)           statev(6)           statev(7)           statev(8)           statev(9)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)      
0.10189150240E-01   0.10189150240E-01   -.18163035877       0.11124656703       0.11124656703        0.0000000000        0.0000000000        0.0000000000       -1717.4210441       -501.00247053       -501.00247053        0.0000000000        0.0000000000        0.0000000000        140238.53517        153594.58614       0.71859607324       -.11711813408E-01    5.4564712098       -982.50028698        1.2419024479        1.0000000000       -22.862941951        12.658747697        12.658747697        0.0000000000        0.0000000000        0.0000000000       -.17776574829       0.11066688163       0.11066688163        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.10207117354E-01   0.10207117354E-01   -.18204113985       0.11147394078       0.11147394078        0.0000000000        0.0000000000        0.0000000000       -1716.7859917       -501.00247056       -501.00247056        0.0000000000        0.0000000000        0.0000000000        140238.53517        153594.58614       0.71867156295       -.11650465243E-01    5.4564712098       -981.83888714        1.2420496246        1.0000000000       -22.862941951        12.651931716        12.651931716        0.0000000000        0.0000000000        0.0000000000       -.17817849823       0.11089455071       0.11089455071        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.10225084468E-01   0.10225084468E-01   -.18245192093       0.11170119244       0.11170119244        0.0000000000        0.0000000000        0.0000000000       -1716.1544753       -501.00247059       -501.00247059        0.0000000000        0.0000000000        0.0000000000        140238.53517        153594.58614       0.71874663713       -.11589455984E-01    5.4564712098       -981.18151262        1.2421959882        1.0000000000       -22.862941951        12.645153798        12.645153798        0.0000000000        0.0000000000        0.0000000000       -.17859123721       0.11112209605       0.11112209605        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.10243051582E-01   0.10243051582E-01   -.18286270201       0.11192832270       0.11192832270        0.0000000000        0.0000000000        0.0000000000       -1715.5264802       -501.00247062       -501.00247062        0.0000000000        0.0000000000        0.0000000000        140238.53517        153594.58614       0.71882129807       -.11528783670E-01    5.4564712098       -980.52814097        1.2423415434        1.0000000000       -22.862941951        12.638413770        12.638413770        0.0000000000        0.0000000000        0.0000000000       -.17900396527       0.11134951836       0.11134951836        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.10261018696E-01   0.10261018696E-01   -.18327348309       0.11215533223       0.11215533223        0.0000000000        0.0000000000        0.0000000000       -1714.9019916       -501.00247065       -501.00247065        0.0000000000        0.0000000000        0.0000000000        140238.53517        153594.58614       0.71889554802       -.11468446350E-01    5.4564712098       -979.87874983        1.2424862950        1.0000000000       -22.862941951        12.631711461        12.631711461        0.0000000000        0.0000000000        0.0000000000       -.17941668245       0.11157681830       0.11157681830        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.10278985809E-01   0.10278985809E-01   -.18368426417       0.11238222171       0.11238222171        0.0000000000        0.0000000000        0.0000000000       -1714.2809947       -501.00247068       -501.00247068        0.0000000000        0.0000000000        0.0000000000        140238.53517        153594.58614       0.71896938926       -.11408442086E-01    5.4564712098       -979.23331685        1.2426302476        1.0000000000       -22.862941951        12.625046697        12.625046697        0.0000000000        0.0000000000        0.0000000000       -.17982938881       0.11180399658       0.11180399658        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.10296952923E-01   0.10296952923E-01   -.18409504525       0.11260899182       0.11260899182        0.0000000000        0.0000000000        0.0000000000       -1713.6634746       -501.00247071       -501.00247071        0.0000000000        0.0000000000        0.0000000000        140238.53517        153594.58614       0.71904282404       -.11348768949E-01    5.4564712098       -978.59181975        1.2427734057        1.0000000000       -22.862941951        12.618419305        12.618419305        0.0000000000        0.0000000000        0.0000000000       -.18024208440       0.11203105386       0.11203105386        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.10314920037E-01   0.10314920037E-01   -.18450582633       0.11283564322       0.11283564322        0.0000000000        0.0000000000        0.0000000000       -1713.0494163       -501.00247074       -501.00247074        0.0000000000        0.0000000000        0.0000000000        140238.53517        153594.58614       0.71911585459       -.11289425021E-01    5.4564712098       -977.95423631        1.2429157741        1.0000000000       -22.862941951        12.611829112        12.611829112        0.0000000000        0.0000000000        0.0000000000       -.18065476925       0.11225799082       0.11225799082        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.10332887151E-01   0.10332887151E-01   -.18491660741       0.11306217657       0.11306217657        0.0000000000        0.0000000000        0.0000000000       -1712.4388049       -501.00247077       -501.00247077        0.0000000000        0.0000000000        0.0000000000        140238.53517        153594.58614       0.71918848315       -.11230408394E-01    5.4564712098       -977.32054434        1.2430573573        1.0000000000       -22.862941951        12.605275945        12.605275945        0.0000000000        0.0000000000        0.0000000000       -.18106744341       0.11248480814       0.11248480814        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.10350854265E-01   0.10350854265E-01   -.18532738849       0.11328859255       0.11328859255        0.0000000000        0.0000000000        0.0000000000       -1711.8316253       -501.00247080       -501.00247080        0.0000000000        0.0000000000        0.0000000000        140238.53517        153594.58614       0.71926071193       -.11171717171E-01    5.4564712098       -976.69072174        1.2431981599        1.0000000000       -22.862941951        12.598759629        12.598759629        0.0000000000        0.0000000000        0.0000000000       -.18148010693       0.11271150648       0.11271150648        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
