    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      statev(1)           statev(2)           statev(3)           statev(4)           statev(5)           statev(6)           statev(7)           statev(8)           statev(9)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)      
 19100.000000        19100.000000       -.47750000000E-02   0.39225574462E-03   0.39225574462E-03    0.0000000000        0.0000000000        0.0000000000       -610.23854199       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84462426492       0.83885247515E-01    3.4000000000       -230.67254962        1.3210075246        1.0000000000       -.25000000000E-06   0.24751848280E-07   0.24751848280E-07    0.0000000000        0.0000000000        0.0000000000       -.40843617892E-02   0.28759744763E-03   0.28759744763E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -230.67270275       0.85018016141E-06   0.47370997496E-02   
 20100.000000        20100.000000       -.50250000000E-02   0.41720635550E-03   0.41720635550E-03    0.0000000000        0.0000000000        0.0000000000       -614.30383871       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84425519110       0.83680196231E-01    3.4000000000       -232.48129450        1.3213228358        1.0000000000       -.25000000000E-06   0.25111740459E-07   0.25111740459E-07    0.0000000000        0.0000000000        0.0000000000       -.43096412254E-02   0.30883997394E-03   0.30883997394E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -232.48144851       0.81675846276E-06   0.48926207271E-02   
 21100.000000        21100.000000       -.52750000000E-02   0.44251142576E-03   0.44251142576E-03    0.0000000000        0.0000000000        0.0000000000       -618.24312986       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84388749831       0.83470684595E-01    3.4000000000       -234.23905677        1.3216450058        1.0000000000       -.25000000000E-06   0.25461791176E-07   0.25461791176E-07    0.0000000000        0.0000000000        0.0000000000       -.45356868858E-02   0.33055189325E-03   0.33055189325E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -234.23921133       0.78488701313E-06   0.50418300236E-02   
 22100.000000        22100.000000       -.55250000000E-02   0.46816124775E-03   0.46816124775E-03    0.0000000000        0.0000000000        0.0000000000       -622.06159229       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84352114996       0.83256952857E-01    3.4000000000       -235.94757992        1.3219736651        1.0000000000       -.25000000000E-06   0.25802244085E-07   0.25802244085E-07    0.0000000000        0.0000000000        0.0000000000       -.47624672906E-02   0.35271877597E-03   0.35271877597E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -235.94773473       0.75448745282E-06   0.51850501991E-02   
 23100.000000        23100.000000       -.57750000000E-02   0.49414635854E-03   0.49414635854E-03    0.0000000000        0.0000000000        0.0000000000       -625.76417003       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84315611041       0.83039226856E-01    3.4000000000       -237.60855495        1.3223084665        1.0000000000       -.25000000000E-06   0.26133344600E-07   0.26133344600E-07    0.0000000000        0.0000000000        0.0000000000       -.49899523757E-02   0.37532664953E-03   0.37532664953E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -237.60870974       0.72548553387E-06   0.53225857843E-02   
 24100.000000        24100.000000       -.60250000000E-02   0.52045754105E-03   0.52045754105E-03    0.0000000000        0.0000000000        0.0000000000       -629.35558555       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84279234493       0.82817719019E-01    3.4000000000       -239.22362075        1.3226490833        1.0000000000       -.25000000000E-06   0.26455338740E-07   0.26455338740E-07    0.0000000000        0.0000000000        0.0000000000       -.52181134246E-02   0.39836198937E-03   0.39836198937E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -239.22377528       0.69781092648E-06   0.54547243103E-02   
 25100.000000        25100.000000       -.62750000000E-02   0.54708582406E-03   0.54708582406E-03    0.0000000000        0.0000000000        0.0000000000       -632.84035032       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84242981973       0.82592629267E-01    3.4000000000       -240.79436479        1.3229952080        1.0000000000       -.25000000000E-06   0.26768472136E-07   0.26768472136E-07    0.0000000000        0.0000000000        0.0000000000       -.54469230034E-02   0.42181170920E-03   0.42181170920E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -240.79451886       0.67139702913E-06   0.55817372817E-02   
 26100.000000        26100.000000       -.65250000000E-02   0.57402248138E-03   0.57402248138E-03    0.0000000000        0.0000000000        0.0000000000       -636.22277501       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84206850196       0.82364145861E-01    3.4000000000       -242.32232386        1.3233465513        1.0000000000       -.25000000000E-06   0.27072989166E-07   0.27072989166E-07    0.0000000000        0.0000000000        0.0000000000       -.56763548994E-02   0.44566315093E-03   0.44566315093E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -242.32247728       0.64618078337E-06   0.57038811037E-02   
 27100.000000        27100.000000       -.67750000000E-02   0.60125903015E-03   0.60125903015E-03    0.0000000000        0.0000000000        0.0000000000       -639.50697914       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84170835971       0.82132446182E-01    3.4000000000       -243.80898494        1.3237028402        1.0000000000       -.25000000000E-06   0.27369132219E-07   0.27369132219E-07    0.0000000000        0.0000000000        0.0000000000       -.59063840626E-02   0.46990407416E-03   0.46990407416E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -243.80913754       0.62210249414E-06   0.58213979593E-02   
 28100.000000        28100.000000       -.70250000000E-02   0.62878722849E-03   0.62878722849E-03    0.0000000000        0.0000000000        0.0000000000       -642.69690020       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84134936194       0.81897697453E-01    3.4000000000       -245.25578617        1.3240638178        1.0000000000       -.25000000000E-06   0.27657141064E-07   0.27657141064E-07    0.0000000000        0.0000000000        0.0000000000       -.61369865493E-02   0.49452264551E-03   0.49452264551E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -245.25593781       0.59910565595E-06   0.59345166369E-02   
 29100.000000        29100.000000       -.72750000000E-02   0.65659907263E-03   0.65659907263E-03    0.0000000000        0.0000000000        0.0000000000       -645.79630245       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84099147854       0.81660057406E-01    3.4000000000       -246.66411791        1.3244292414        1.0000000000       -.25000000000E-06   0.27937252317E-07   0.27937252317E-07    0.0000000000        0.0000000000        0.0000000000       -.63681394696E-02   0.51950742770E-03   0.51950742770E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -246.66426847       0.57713678557E-06   0.60434533120E-02   
 30100.000000        30100.000000       -.75250000000E-02   0.68468679343E-03   0.68468679343E-03    0.0000000000        0.0000000000        0.0000000000       -648.80878517       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84063468030       0.81419674900E-01    3.4000000000       -248.03532388        1.3247988821        1.0000000000       -.25000000000E-06   0.28209698990E-07   0.28209698990E-07    0.0000000000        0.0000000000        0.0000000000       -.65998209368E-02   0.54484736858E-03   0.54484736858E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -248.03547323       0.55614526135E-06   0.61484122888E-02   
 31100.000000        31100.000000       -.77750000000E-02   0.71304285264E-03   0.71304285264E-03    0.0000000000        0.0000000000        0.0000000000       -651.73779057       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84027893887       0.81176690493E-01    3.4000000000       -249.37070222        1.3251725238        1.0000000000       -.25000000000E-06   0.28474710119E-07   0.28474710119E-07    0.0000000000        0.0000000000        0.0000000000       -.68320100192E-02   0.57053179015E-03   0.57053179015E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -249.37085029       0.53608316938E-06   0.62495866935E-02   
 32100.000000        32100.000000       -.80250000000E-02   0.74165993868E-03   0.74165993868E-03    0.0000000000        0.0000000000        0.0000000000       -654.58661125       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.83992422675       0.80931236978E-01    3.4000000000       -250.67150680        1.3255499623        1.0000000000       -.25000000000E-06   0.28732510457E-07   0.28732510457E-07    0.0000000000        0.0000000000        0.0000000000       -.70646866949E-02   0.59655037754E-03   0.59655037754E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -250.67165349       0.51690515648E-06   0.63471591308E-02   
 33100.000000        33100.000000       -.82750000000E-02   0.77053096226E-03   0.77053096226E-03    0.0000000000        0.0000000000        0.0000000000       -657.35839736       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.83957051728       0.80683439870E-01    3.4000000000       -251.93894832        1.3259310046        1.0000000000       -.25000000000E-06   0.28983320223E-07   0.28983320223E-07    0.0000000000        0.0000000000        0.0000000000       -.72978318082E-02   0.62289316813E-03   0.62289316813E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -251.93909356       0.49856829008E-06   0.64413023003E-02   
 34100.000000        34100.000000       -.85250000000E-02   0.79964905175E-03   0.79964905175E-03    0.0000000000        0.0000000000        0.0000000000       -660.05616332       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.83921778465       0.80433417868E-01    3.4000000000       -253.17419560        1.3263154681        1.0000000000       -.25000000000E-06   0.29227354907E-07   0.29227354907E-07    0.0000000000        0.0000000000        0.0000000000       -.75314270289E-02   0.64955054071E-03   0.64955054071E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -253.17433934       0.48103192490E-06   0.65321795786E-02   
 35100.000000        35100.000000       -.87750000000E-02   0.82900754828E-03   0.82900754828E-03    0.0000000000        0.0000000000        0.0000000000       -662.68279424       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.83886600383       0.80181283279E-01    3.4000000000       -254.37837679        1.3267031802        1.0000000000       -.25000000000E-06   0.29464825116E-07   0.29464825116E-07    0.0000000000        0.0000000000        0.0000000000       -.77654548129E-02   0.67651320485E-03   0.67651320485E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -254.37851898       0.46425757622E-06   0.66199455639E-02   
